Isabella Ósk Sigurðardóttir,1408972649,Dimmuhvarf 5,Kópavogur,8451103,isabella@worldclass.is, 3890284820,4888 9089 0934 8923
Ísabella Rós Sigurðsdóttir,1508972649,Dimmuhvarf 2,Kópavogur,8541103,isabellar@worldclass.is,keyra_rosa_betur,4888 8088 0834 8823
Davið Vladyslav,2002982929,Brekkugerði 12,Norðlingaholt,6924582,daviðvlady@gmail.com,13708371836,6352 8392 9384 7291
Vala Sigurðardottir,2002992649,Hliðargerði 12,108 Reykjavik,8578983,valasig@verslo.is,127849232687,8950 7236 5429 7628
Kristbjörg Lilja Rúnarsdóttir,1306704079,Fákvahvarf 18,203 Kópavogur,8937500,krissa@jonas.is,OK Y26,2378 9273 0274 9284
Guðni Jóhannesson,2902163050,Bessastaðir,Álftanes,6666666,forseti@forseti.is,jájá,1315 1315 1412 1412
Sveinn Andri Sveinsson,1208637899,Hávallagata 23,Reykjavík,8793522,sveinnandri@sveinnandri.is,182374620,2389 6372 8474 0283
Bjarki Kristjánsdóttir,1306012379,Fákahvarf 18,203 Kopavogur,8410000,bjarkifjarki@ms.is,238914718310,7586 5370 1387 4232
Sæmundur Sveinsson,1609982469,Melgerði 12,108 Reykjavík,8690470,sæmundur@ru.is,389382468,8156 3103 9297 4682
Sölvi Már Magnússon,1909942939,Skógarás 11,110 Reykjavík,6593620,solvimarm@gmail.com,264985198,2654 2598 3268 1546
Tekla Kristjánsdóttir,2209992469,Fákahvarf 18,203 Kop,8571000,tekla18@ru.is,264985948,4265 6203 3107 8490
